duration,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,8d54e45f-67f1-4987-ba49-945d67e7c86b,3708,,,"[44.3, 54.5]",3869220,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Jawad El Yamiq,7459.0,Right Center Back,167,Morocco,788,['e6d33969-88d0-4d05-b18c-f62ac07cc975'],59,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:02:59.309,Ball Receipt*,
,096c1500-c455-4283-b324-f37461fa374b,3711,,,"[62.3, 52.1]",3869220,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Abdelhamid Sabiri,3634.0,Left Center Midfield,167,Morocco,788,['19a45103-66e0-4e3d-b36d-38e4c6edf6d6'],1,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:03:01.750,Ball Receipt*,
,86f38909-052b-48b3-8fce-d4c916bd7a20,3714,,,"[49.7, 74.4]",3869220,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Jawad El Yamiq,7459.0,Right Center Back,167,Morocco,788,['ffd819aa-6bb8-4f5f-b51e-faa5353268a4'],4,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:03:04.190,Ball Receipt*,
,7031676a-5c31-457a-a82b-00bb7dcbfdb2,3721,,,"[69.4, 74.6]",3869220,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,Hakim Ziyech,5237.0,Right Wing,168,Morocco,788,"['3e39f3ad-6d4d-4861-9440-5c0c40d0c4ab', '6b9fd731-6d7c-4218-b2c1-05a4bf1ecb59']",24,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:03:24.471,Ball Receipt*,True
,2634277e-aaa4-4349-b70a-50e22e3df7f2,3753,,,"[31.9, 44.4]",3869220,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Azzedine Ounahi,46258.0,Right Center Midfield,170,Morocco,788,['d331237e-7273-47c6-b6f5-33bbcf9e8c56'],6,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:04:06.426,Ball Receipt*,
,1e2ee731-c565-407f-a36f-9eeec1ae5d41,3757,,,"[38.8, 70.9]",3869220,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Hakim Ziyech,5237.0,Right Wing,170,Morocco,788,['3a67dde1-c53e-4bf2-abc9-2015b95c12f0'],10,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:04:10.363,Ball Receipt*,
,335ae558-0b26-45c5-ac7c-979b82a005db,3760,,,"[26.4, 55.1]",3869220,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,170,Morocco,788,['acae0edf-6cf5-4692-a1d9-bbbf1789b824'],13,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:04:13.366,Ball Receipt*,
,b7da370e-bb6b-4488-b834-7dd8f6fb21dc,3764,,,"[82.4, 48.5]",3869220,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,Walid Cheddira,296254.0,Center Forward,170,Morocco,788,['ccbcb889-7fbb-4ece-8a26-9bfddf5dc6ed'],21,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:04:21.323,Ball Receipt*,
,b24cc95a-45d4-418f-8361-eff9bd9218cf,3900,,,"[60.8, 7.6]",3869220,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Counter,Walid Cheddira,296254.0,Center Forward,175,Morocco,788,"['02836ad2-d94e-4922-bf22-fca6e024c37b', '8dd48545-1b29-49c6-b860-ad07868f63f9']",5,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:08:05.565,Ball Receipt*,True
,703580c3-cdd4-4b91-a740-1a216bef91c5,3905,,,"[83.9, 2.3]",3869220,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,Abdessamad Ezzalzouli,149714.0,Left Wing,176,Morocco,788,"['4e2879fc-000a-4af9-9e30-79c920bc7451', 'eadbcc4b-08ec-458a-9e64-7305b0bc4e10']",26,,,,,,,,,,,,,,,,,,,,,,,Morocco,788,00:08:26.324,Ball Receipt*,True
